Account,Country,MonthBooked,ConsumerGroup,PromotionCode,Users,Revenue,Streams
Spotify,Peru,4/1/17,Ad-Funded,Free,123049,3643,47100000
Spotify,Peru,8/1/17,Ad-Funded,Free,134447,3730,55800000
Spotify,Peru,6/1/17,Ad-Funded,Free,133189,3765,52100000
Spotify,Peru,5/1/17,Ad-Funded,Free,131225,3933,53300000
Spotify,Peru,9/1/17,Ad-Funded,Free,141295,3801,53400000
Spotify,Peru,10/1/17,Ad-Funded,Free,132673,3784,54100000
Spotify,Peru,7/1/17,Ad-Funded,Free,135045,3961,55400000
Spotify,Chile,5/1/17,Ad-Funded,Free,142439,2429,56500000
Spotify,Chile,7/1/17,Ad-Funded,Free,133113,2131,53800000
Spotify,Chile,8/1/17,Ad-Funded,Free,152250,2527,64300000
Spotify,Chile,9/1/17,Ad-Funded,Free,165720,2499,67800000
Spotify,Chile,10/1/17,Ad-Funded,Free,179887,3025,79100000
Spotify,Chile,4/1/17,Ad-Funded,Free,136521,2315,51600000
Spotify,Chile,6/1/17,Ad-Funded,Free,135292,2112,51500000
Spotify,Italy,4/1/17,Ad-Funded,Free,337268,11180,109000000
Spotify,Italy,6/1/17,Ad-Funded,Free,355797,11727,119000000
Spotify,Italy,8/1/17,Ad-Funded,Free,356285,11554,120000000
Spotify,Italy,10/1/17,Ad-Funded,Free,424287,15325,157000000
Spotify,Italy,7/1/17,Ad-Funded,Free,352243,12103,122000000
Spotify,Italy,5/1/17,Ad-Funded,Free,345047,11623,119000000
Spotify,Italy,9/1/17,Ad-Funded,Free,420515,14723,146000000
Spotify,Japan,10/1/17,Ad-Funded,Free,92566,3621,27200000
Apple,Japan,8/1/17,Premium,Paid,189677,119643,78400000
Apple,Japan,10/1/17,Premium,Paid,211664,173668,108000000
Apple,Japan,5/1/17,Premium,Paid,173235,122959,73000000
Apple,Japan,9/1/17,Premium,Paid,200376,131527,85600000
Apple,Japan,4/1/17,Premium,Paid,161376,146527,85100000
Apple,Japan,7/1/17,Premium,Paid,170403,131173,86600000
Apple,Japan,6/1/17,Premium,Paid,162712,109184,70500000
Spotify,Spain,6/1/17,Premium,Paid,82881,66111,79800000
Spotify,Spain,7/1/17,Ad-Funded,Free,428931,13834,156000000
